#моя [не]идеальная жизнь,Кинселла С.,"О чем: Главная героиня, Кэт Бреннер, работает в маркетинговом агентстве, и ее жизнь, которой она активно делится с подписчиками в социальных сетях, казалось бы, ярка и интересна. Но, увы, это лишь обложка, под которой скрываются финансовые проблемы, склоки с соседями по тесной съемной квартире и одиночество в огромном чужом городе. Кэт страдает от того, что не может сделать свою жизнь столь же красочной и полной поводов для гордости, как та, которую она показывает в Instagram. Но вскоре Кэт поймет, что в действительности надо уделять внимание вовсе не дизайнерским украшениям и стильным нарядам, которые вызывают зависть у подписчиков, а любви. И эта любовь уже вот-вот готова ворваться в ее жизнь… Для кого: Для романтичных натур, которые идут в ногу с современными технологиями и трендами. Для тех, кто ценит в литературе динамичность, искренность и сильную любовную линию. Для читателей, которые истосковались по увлекательным и нестандартным женским романам. Для всех, кто хочет с головой...",4 200 тг,5,Эксмо,2017 г.,9785699947492,480,Твердый,177 мм x 107 мм,27 мм,300 г.,http://www.bookcity.kz/content/images/thumbs/5102089_1438614.jpeg
А ты умеешь хранить секреты?,Кинселла С.,"Эмма похожа на каждую девушку в мире. И, как у каждой девушки, у нее есть несколько секретов, которыми она не поделилась бы ни с кем. Вот только Эмма попала в зону турбулентности в самолете и даже сама не заметила, как от страха выболтала все симпатичному незнакомцу с соседнего кресла. Конечно, Эмма выжила, и на следующее утро отправилась знакомиться с генеральным директором мегакорпорации, в которой работает. И когда она подняла глаза, тут же чуть не хлопнулась в обморок... перед ней стоял красавец из самолета! Что он будет делать с ее секретами? Эмма в ужасе, ведь босс теперь знает каждую ее унизительную тайну.",2 000 тг,5,Эксмо,2019 г.,9785041040567,Мягкий,-129 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5133479_1465497.jpeg
Австрийские фрукты,Берсенева А.,"У современной женщины ""за тридцать"" Татьяны Алифановой нет ни малейшего желания останавливать на скаку коней, да и вообще нет склонности к альтруизму. Самой бы прожить! Она одинока, прагматична, рассчитывает только на себя. Тем более что и заработать в нынешние трудные времена нелегко даже ей, стилисту высокого класса. Но Татьяна привыкла преодолевать очень серьезные трудности, так как из них состояла вся ее прошлая жизнь с самого детства. И вдруг именно из прошлого, из ярких, горестных и счастливых его событий, приходит известие, которое полностью меняет и ее нынешнюю жизнь, и ее представление о себе самой. К счастью или к горю? Попробуй пойми сразу!",1 200 тг,5,Эксмо,2017 г.,9785040889075,352,Мягкий,30 мм,145 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5117532_1450453.jpeg
Австрийские фрукты,Берсенева А.,"У современной женщины ""за тридцать"" Татьяны Алифановой нет ни малейшего желания останавливать на скаку коней, да и вообще нет склонности к альтруизму. Самой бы прожить! Она одинока, прагматична, рассчитывает только на себя. Тем более что и заработать в нынешние трудные времена нелегко даже ей, стилисту высокого класса. Но Татьяна привыкла преодолевать очень серьезные трудности, так как из них состояла вся ее прошлая жизнь с самого детства. И вдруг именно из прошлого, из ярких, горестных и счастливых его событий, приходит известие, которое полностью меняет и ее нынешнюю жизнь, и ее представление о себе самой. К счастью или к горю? Попробуй пойми сразу!",1 700 тг,5,Эксмо,2017 г.,9785699970131,320,Мягкий,25 мм,280 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5112104_1444189.jpeg
АвтоSTOP,Богатырева И.С.,"Мы - вольные странники дорог. Друзья дальнобойщиков и драйверов, мы их амулеты, их ангелы-хранители. И даже менты не трогают нас: они знают, кто мы такие и куда идем.  Мы - братья одного ордена, и на нашем гербе можно вывести ""In via Veritas"" или, проще, ""Дорога всегда права"".  Нам двадцать плюс-минус немного, у нас еще нет прошлого, мы не смотрим в будущее, а в настоящем - перспектива, асфальт и радость от того, что нас все потеряли.",500 тг,5,Эксмо,2008 г.,9785699256020,288,Мягкий,200 мм x 110 мм,15 мм,179 г.,http://www.bookcity.kz/content/images/thumbs/5059923_1368939.jpeg
Азарт среднего возраста,Берсенева А.,"В чем состоит кризис среднего возраста? В том, что из жизни уходит азарт. Чего добиваться, в чем искать жизненный кураж? Этот неизбежный вопрос задает себе успешный бизнесмен Александр Ломоносов. И вдруг на его пути появляется женщина - юная, красивая, ""с перчинкой"". Источник нового азарта найден! Но тут-то и выясняется, что жизнь идет не по правилам психологического тренинга. И в прошлом самого Александра, и в истории семьи Ломоносовых немало событий, которые создают сложный и тонкий рисунок судьбы… Но как разобраться в его причудливых линиях?",1 400 тг,3,Эксмо,2017 г.,9785040894857,352,Мягкий,25 мм,125 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5117575_1450496.jpeg
"Алиса, или Зеленый подъезд",Веденская Т.,"Отношения – это всегда непросто. Михаил  обожает свою жену Алису, но она  почему-то отгораживается от него, уходит в себя. Супруг понимает, что с ней что-то не так.  Однажды он находит несколько тетрадных листков, исписанных ее нетвердым почерком. Из них понимает, что с любимой произошло что-то ужасное. То, что она до сих пор не может пережить. Но что именно случилось, а главное, что делать? Пробиться через стену молчания невозможно. И Михаил решается показать Алисин дневник профессиональному психологу. Вдруг тот сможет пролить свет на ее прошлое  и дать добрый совет. Но все оказывается гораздо сложнее, чем можно себе представить.",1 300 тг,3,Эксмо,2017 г.,9785040894871,315,Мягкий,165 мм x 130 мм,20 мм,155 г.,http://www.bookcity.kz/content/images/thumbs/5116871_1449798.jpeg
Ангел вожделения,Радви Е.,"Напряженная динамичная история об эротических страстях женщины - женщины-ангела и женщины-дьявола, о противоборстве этих двух начал. Несмотря на предельную откровенность отдельных сцен и эпизодов, автору не изменяет чувство меры и вкуса.",800 тг,0,Институт соитологии,2005 г.,9785963700303,256,Твердый,165 мм x 120 мм,12 мм,225 г.,http://www.bookcity.kz/content/images/thumbs/5059900_1343813.jpeg
Ангелочек. Дыхание утренней зари,Дюпюи М-Б.,"Наконец-то Анжелина счастлива: у нее есть прекрасная семья, уютный дом и любимая работа. К тому же она ждет второго ребенка! Однако радость женщины не дает покоя ее сопернице Леоноре. Узнав, что Анжелина, известная повитуха, помогла свой подруге сделать аборт, Леонора тут же заявляет в жандармерию. Беременную женщину бросают в тюрьму. Анжелина приходит в отчаяние - как сохранить жизнь своему малышу и не выдать чужих секретов?",2 700 тг,0,Клуб Семейного Досуга,2016 г.,9789661498333,448,Твердый,200 мм x 130 мм,24 мм,385 г.,http://www.bookcity.kz/content/images/thumbs/5094680_1432680.jpeg
Ангел-хранитель,Спаркс Н.,"""Жили они долго и счастливо и умерли в один день…"" К сожалению, такое бывает только в сказках! А в жизни Джулия Беренсон, долгие годы мучительно переживающая смерть любимого мужа, постепенно забывает боль утраты и начинает задумываться о новом счастье. В поклонниках, предлагающих ей руку и сердце, нет недостатка - и каждый из них, в сущности, может стать хорошим мужем. Но чем дальше, тем яснее становится Джулии, что один из ее верных и добрых поклонников - совсем не тот человек, за которого себя выдает…",1 300 тг,1,АСТ,2016 г.,9785170991792,544,Мягкий,165 мм x 107 мм,25 мм,250 г.,http://www.bookcity.kz/content/images/thumbs/5094409_1432380.jpeg
Ангел-хранитель,"Берсенева А., Сотников В.","?Три крестьянских сына, три барышни-дворянки — и старинная подмосковная усадьба, в которой на протяжении всего ХХ века разворачиваются события их жизни.Усадьба Ангелово — не фон для действия, а ""центр силы"" двух больших семей, с ней связаны для Кондратьевых и Ангеловых любовь, утраты, измены, самоотверженность, творчество, счастье. И все, что происходит с главными героями, а потом с их детьми и внуками, овеяно мистикой старинного дома, Оборотневой пустоши, родника в ангеловском парке. Может быть, действительно хранит эту местность Ангел, исчезнувший в Гражданскую войну вместе с частью фамильной коллекции, но незримо присутствующий в судьбах героев?Основой для романа стал сценарий многосерийного художественного фильма.",1 300 тг,5,Эксмо,2018 г.,9785040952175,384,Мягкий,165 мм x 107 мм,25 мм,160 г.,http://www.bookcity.kz/content/images/thumbs/5121813_1454575.jpeg
