100 великих улиц и площадей,Аннина С.А.,"Книга приглашает читателя посетить самые прекрасные и неповторимые площади и улицы мира. Вы узнаете о том, какая улица самая длинная в мире, или самая зеленая, узкая или самая широкая. Вы познакомитесь с историческими событиями и архитектурными достопримечательностями, сформировавшими нынешний облик величайших площадей России, стран Европы, Азии. Ближнего Востока, Африки, Америки.",2 000 тг,0,Вече,2015 г.,9785444419731,416,Твердый,215 мм x 145 мм,33 мм,385 г.,http://www.bookcity.kz/content/images/thumbs/5068282_1407985.jpeg
Bauhaus architecture,Неизвестно,"Focusing on buildings designed by Bauhaus members from 1919 to 1933, this book features some 65 famous and lesser-known building projects in Germany, Vienna, Barcelona, Prague, and Budapest by architects including Walter Gropius, Marcel Breuer, and Ludwig Mies van der Rohe. Arranged chronologically, Bauhaus Architecture offers informative commentary and site plans along with photographs, taken especially for this book. Engels' photographs show many buildings in their newly restored conditions and reflect the full range of Bauhaus architecture, one of the most influential schools of architecture in the twentieth century.",34 100 тг,0,Prestel Publishing Limite,2018 г.,9783791384818,Твердый,20 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5130608_1462988.jpeg
Big Ideas Small Buildings,Неизвестно,XS,13 100 тг,0,Не указано,2001 г.,9780500341810,224,26 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5042285_1364868.jpeg
Color Harmony Layout,Терри М.,"В книге представлены 10 наиболее часто употребимых типов печатной продукции (фирменный бланк, постер, обложка, брошюра, информационный бюллетень и т. д.) и самые распространенные цветовые сочетания: классическое, тропикана, романтическое, элегантное, транслюсцентное, свежие и т. д.",12 400 тг,0,Рип-Холдинг,2013 г.,978159253258252500,20 мм,Неизвестно,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5124165_1456847.jpeg
"Decorating with Concrete: Indoors: Fireplaces, Floors, Countertops, & More (Schiffer Book)",Скиннер Т.,"Today's leading interior designers are absolutely enamored with concrete. Innovators and artisans are enthusiastically exploring the ever-expanding uses for concrete as an artistic medium, and the potential seems endless. New permanent colors for concrete are infinite and the textures limited only by the imagination. Concrete can imitate any surface, from expensive marble and granite to slick glass or worn and faded terracotta and brick. This book takes you on a visual tour of amazing concrete applications indoors, from floors and countertops, to fireplace surrounds. It highlights groundbreaking artistry in concrete that is opening the doors for craftsmen, and even do-it-yourselfers, to create murals on floors, walls, and ceilings. A companion volume explores decorative applications for the home's exterior.",6 500 тг,0,Schiffer books,9780764322006,14 мм,Неизвестно,Неизвестно,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5009144_1332345.jpeg
"Dream Cities: 7 урбанистических идей, которые сформировали мир",Неизвестно,"?Городская архитектура – как она влияет на нас и как мы влияем на нее? Откуда берутся привычные формы зданий? И какие идеи они могут олице­творять? Знаменитый ландшафтный дизайнер, историк и писатель Уэйд Грэхем расскажет истории архитекторов, чье представление о городах стало основой сегодняшнего градостроительства, чтобы через жизнь этих ""мечтателей и энтузиастов"", их сторонников и противников не только проследить развитие окружающих нас форм, но и научиться по-новому воспринимать мир, в котором мы живем.",4 500 тг,0,Эксмо,2018 г.,9785699967599,288,Твердый,30 мм,630 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5127649_1460137.jpeg
English Style and Decoration: A Sourcebook of Original Designs,Stafford Cliff,"From about 1700, English design, craftsmanship, and production techniques inspired admiration and imitation throughout the Western world. The designers of the period and their associated manufacturers created a legacy almost unmatched in the history of the decorative arts. Drawing upon an impressive array of sources, English Style and Decoration offers a cornucopia of design riches. Alongside the work of famous and familiar taste-makers such as Chippendale and Wedgwood, this sumptuous, profusely illustrated reference book also contains hundreds of original designs developed in workshops and factories throughout England. Lavishly illustrated, it presents original sketches and printed patterns for furniture, textiles, flooring, wallpaper, glass, ceramics, and household utensils, from doorknobs to tableware to light fittings. Формат: 18,5 см х 25 см.",13 800 тг,0,Thames & Hudson,2008 г.,9780500513996,248,260 мм x 200 мм,30 мм,1215 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5095043_1433053.jpeg
Glамурный Дом,Робски О.,"Одна из самых популярных жительниц Рублевки открывает перед вами двери своего дома и домов своих знаменитых друзей, уникальных и сугубо индивидуальных по стилю. Интерьеры, собранные в книге, советы их хозяев и профессиональных декораторов помогут вам найти собственное видение идеального жилища и создать роскошную атмосферу гламурного дома. Для широкого круга читателей.",6 300 тг,0,Олма Медиа Групп,2006 г.,9785373007108,240,Твердый,290 мм x 205 мм,17 мм,892 г.,http://www.bookcity.kz/content/images/thumbs/5011014_1332219.jpeg
Great Escapes North America,"Daisann Mclane, Freeman Don","This volume in the ""Great Escapes"" concentrates on the most extraordinary and tempting Canadian and American hotels, ranging from funky and inexpensive to luxuriously elegant and wildly pricey. Формат издания: 19 см х 24 см.",8 100 тг,0,Taschen,2009 г.,9783836514859,360,30 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5033334_1355415.jpeg
Green Retail Design INTL,Pegler,Green Retail Design compiles the most exciting sustainable retail design initiatives into one exciting sourebook,25 000 тг,0,"HarperCollins USA,",2010 г.,9780944094686,22 мм,Неизвестно,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5095029_1433039.jpeg
IDEA BOOK. Графический дизайн,Хеллер С.,"Перед вами книга по основам графического дизайна от выдающегося профессионала. Стивен Хеллер написал 120 книг и учебников по дизайну и более 30 лет возглавлял журнал New York Times. В своей новой книге он собрал важнейшие идеи и постулаты, без которых невозможен качественный современный дизайн. Правила, которые необходимо знать, и случаи, когда их следует нарушить. Самые яркие примеры графических работ, демонстрирующие его теоретические идеи в действии.",5 600 тг,4,Питер,2017 г.,9785496025652,120,Мягкий,240 мм x 170 мм,7 мм,290 г.,http://www.bookcity.kz/content/images/thumbs/5104614_1441035.jpeg
